RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Pernoctaciones,30142242,2007,9,Septiembre
Total,,Pernoctaciones,38132493,2007,8,Agosto
Total,,Pernoctaciones,34315590,2007,7,Julio
Total,,Pernoctaciones,28459008,2007,6,Junio
Total,,Pernoctaciones,23486608,2007,5,Mayo
Total,,Pernoctaciones,21690169,2007,4,Abril
Total,,Pernoctaciones,17428802,2007,3,Marzo
Total,,Pernoctaciones,13555040,2007,2,Febrero
Total,,Pernoctaciones,12356394,2007,1,Enero
Total,,Pernoctaciones,13141207,2006,12,Diciembre
Total,,Pernoctaciones,14269663,2006,11,Noviembre
Total,,Pernoctaciones,23372257,2006,10,Octubre
Total,,Pernoctaciones,29918731,2006,9,Septiembre
Total,,Pernoctaciones,37636214,2006,8,Agosto
Total,,Pernoctaciones,34105558,2006,7,Julio
Total,,Pernoctaciones,27996368,2006,6,Junio
Total,,Pernoctaciones,23734897,2006,5,Mayo
Total,,Pernoctaciones,21185887,2006,4,Abril
Total,,Pernoctaciones,16370344,2006,3,Marzo
Total,,Pernoctaciones,13221070,2006,2,Febrero
Total,,Pernoctaciones,12075662,2006,1,Enero
Total,,Pernoctaciones,11572418,2005,12,Diciembre
